monitor_id,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6
"18.009558,-66.627249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407418887,0.934305783,1.0103035,0.942357032,0.899369586,1.092458148,0.1326401,0.016837826,0.07573315,0.330111758,0.545384468,0.358049483,0.793387161,1.007945183,1.268060484,1.062959655,0.230958111,0.665421677,0.958129933,1.220246016,0.48297765,0.454647484,0.701373903,0.458634183,0.816492188,0.070463067,0.059636516,0.107194726,0.2510305,0.371459645,0.472269143,0.000425593,0.008722577,-0.075925722,0.30460016,0.279957083,0.179348532,-0.062580383,0.3857302,0.082801083,0.17196475,0.489179597,0.578954167,0.425966548,0.697766233,0.777122327,0.066272565,0.234911933,0.539618452,0.757614167,0.761641452,0.934625565,1.12742581,1.010732,0.416243983,0.411325355,0.24786,0.309109158,NA,NA,0.42587145,0.506388883,0.514695242,0.500224774,0.568138018,0.651945794,0.2540545,0.077333306,0.356382917,0.346262069,0.301849433,NA,NA,NA,NA,0.350655258,0.377101196,0.552286048,0.471974308,0.148138742,0.173414017,0.200841774,0.351733758,0.430404783,0.453552952,0.290068146,0.302633528,0.272098417,0.215553839,0.124791667,NA,0.343002167,0.3868932,0.594007145,0.630554552,0.233746217,0.280762813,0.196374783,0.124902774,0.114713847,0.075933879,0.035756952,0.024861117,0.059139758,0.4621528,0.37742521,0.24382554,0.363585833,0.436452903,0.445932983,0.479112774,0.463020161,5.828596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53323252,0.5,NA,NA
"18.198712,-66.052237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.110629018,0.386621864,0.368320274,0.221713417,0.241012145,0.267065952,0.6456993,NA,NA,NA,NA,NA,NA,NA,NA,0.219231087,0.270373935,0.722699661,0.682775958,0.799731161,0.732708333,0.732795726,0.672338468,0.653748179,0.623400767,0.351763567,0.323184113,0.310745183,0.379464113,0.301593371,0.490423483,0.484306371,0.350069467,0.331036694,0.396619441,0.367843638,0.220380865,0.650416683,0.110960109,0.1490972,0.407015614,0.563702,0.675670159,0.686101419,0.694974733,0.761410919,0.670303903,0.56836751,NA,NA,NA,NA,NA,NA,1.163190976,0.719685548,0.63218785,0.58230725,0.118820387,0.176758643,1.010463887,0.3,NA,NA
"18.401892,-66.052388",0.604312846,0.784416269,0.722771583,0.764748917,0.924591864,0.879396768,0.64800424,0.950928677,0.975205097,1.352939914,1.268500103,1.335259952,1.562936016,1.362027946,0.785544194,1.201868412,1.3964966,1.465250317,1.023841532,1.340618258,1.082084133,0.847791633,0.469737867,0.92897771,1.235200938,0.469736864,0.644868952,1.006616133,1.165682,0.892136067,0.817324645,1.146038138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.417315,-66.150293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.267973217,1.226232774,0.987170933,1.538921145,1.750131375,0.985833083,1.27870932,1.4975936,0.890041435,1.319414435,1.69729518,0.836255135,1.247208483,1.218869371,1.095986033,0.492521929,NA,NA,0.8627665,1.311933167,1.502507016,1.588476342,0.666106925,0.874241274,0.646704217,0.469046935,0.70851345,0.983529855,1.010043765,0.597658646,0.560451726,0.507705333,0.573521758,0.3835095,0.16686086,0.155027964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.420089,-66.150615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200330719,0.287022933,0.459745613,0.539701652,0.610773129,0.619058818,0.364397375,0.6,NA,NA,NA,NA,0.508164969,1.328163967,1.483576097,0.720795983,1.013288984,1.143967613,1.100353217,1.168691323,0.60921,0.481247613,0.604240661,0.745762107,0.582969635,0.691574667,0.7545725,0.786243417,0.653040387,0.755941339,0.661834067,0.359574081,0.380598333,0.587074577,0.673487161,1.01207625,0.671515,0.42298305,0.501245025,NA,NA,0.362209667,0.318125966,0.292819033,0.389159714,0.475294129,0.242057714,NA,NA,0.27033518,0.271509194,0.248603538,0.235588516,0.268780952,0.30411795,0.330932823,0.359868,0.338019677,0.357046464,0.321685741,0.419395532,0.528188138,4.015365581,4.6096549,4.285069071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1950935,0.192417067,0.470974452,1.2853415,1.479691905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4784595,0.230768932,0.17247676,0.283441688,0.135567135,0.099553741,NA,0.0995835,0.113159806,0.075625017,1.799718161,1.759652833,0.203088605,0.19611605,0.170846,0.308984652,0.457001095,0.48279025,0.5,0.5,0.191502219,0.07709613,0.098277097,0.231026667,0.272030161,0.347875065,0.1941005,0.256032984,0.24441945,0.176584581,0.231889121,0.159736157,0.095916484,0.1,NA,NA
"18.422595,-66.120012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560670833,0.959316145,1.013068983,0.948861032,0.86409585,0.798627364,NA,NA,NA,1.055885917,0.28775629,0.1798747,0.767803548,0.795776032,0.9151366,0.923614855,0.912588367,3.6,0.292224645,0.291744707,0.290724161,0.295624433,0.257692161,0.261779867,0.260216871,0.26179121,0.280818362,0.342453452,0.394287417,0.386420661,0.349928161,0.334656768,0.358566645,0.3696621,0.192210371,0.3029696,0.249480694,0.305982758,0.2235477,NA,NA,NA,NA,NA,0.012859706,0.33009034,0.287639714,0.292885467,0.264727177,0.294355306,0.32840185,0.349476984,0.360897067,0.36247179,0.367659677,0.362469481,0.358107145,0.463869967,0.411772968,0.448207617,0.437082145,0.451795903,0.486503083,0.47417971,0.504044817,0.498623017,0.522610283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.445223,-66.06711",1.017371435,2.074375212,2.632961774,2.899551389,NA,1.267438933,1.528210625,1.589852984,2.324821567,1.739181345,1.590415655,1.8449655,2.0679154,2.216693661,1.535698516,1.659150783,1.32618,0.692342717,0.717513242,1.24843229,1.721173117,1.819499919,1.933464467,1.54090382,1.379882419,1.865304321,1.305926758,1.308756617,1.072656032,0.622256,1.191683935,1.121255113,1.456218983,1.775996919,1.852297155,0.754680081,0.964585339,1.051216554,1.0958969,1.409698083,1.398165981,0.53766481,1.029745778,1.420171468,1.433054971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.449814,-66.05251",3.046187839,2.8306515,2.373828032,1.192214,1.831504435,2.020097167,1.800817806,2.018508565,2.202217483,1.936484813,2.028832483,1.6461931,2.242172467,2.441454321,2.001977871,1.774794848,1.692489984,2.187452783,2.203874484,2.454654048,2.580869233,1.472216414,1.770355133,2.06205246,2.238511903,2.441371036,2.586093532,1.912294563,1.461508385,1.61585005,1.918013387,1.889128484,1.758442867,2.142249226,2.349248867,1.80500265,1.682958581,2.04832425,2.123212742,2.216714167,2.006019177,1.644645034,1.559151452,1.638596714,1.810391714,2.023527371,2.239833967,1.904358848,2.011150613,2.086206914,2.306962845,1.688616583,1.727232371,1.875009483,1.409224565,1.578629016,1.585827196,1.769896207,1.780278067,1.885653339,1.428814677,1.415895589,1.443104839,1.568314833,1.773635468,1.603519509,1.437458982,1.501457365,1.58148123,1.478441468,1.92300725,2.008108097,1.63705925,1.286285655,1.404950161,1.544809767,1.506884323,1.5043714,1.565531565,1.042154,1.144369583,1.255481548,1.240286317,1.361670452,1.450376597,1.344419019,1.662568839,1.73729025,1.76293225,1.055701594,1.456622452,1.473695516,1.399314967,1.378862742,1.722866983,1.271126692,0.904830639,1.1753,1.221462609,1.029530316,0.9385815,1.154930983,1.316764645,1.401005889,1.288201,1.522652419,1.6699366,1.803445758,1.390323421,0.489714214,0.604876435,0.878508417,0.964792563,0.81453335,1.031309133,0.899401,0.798490983,0.946534548,1.04747805,0.963271355,0.990304919,1.020149038,0.772432565,0.91610285,1.020778904,1.200165333,1.184041146,1.267417933,1.319141462,NA,NA,NA,NA,0.946601571,1.543226935,1.7874893,0.975721543,0.865840682,1.365202806,1.116984355,0.46139096,0.396334306,0.752682276,0.655110694,0.997468804,1.495806259,1.365194419,0.801678783,1.042882194,1.133866617,1.493387694,1.433828667,0.96434515,1.01389015,1.09290735,3.70416675,1.064011109,1.123651815,1.1277293,1.0727336,1.293904839,1.325912125,0.739825048,0.961652677,1.038308567,1.263303516,1.485262667,1.253883258,0.887372339,1.002733607,0.992416274,1.180564617,1.35266479,1.455588817,1.63288971,1.587313597,0.959692391,0.945050226,1.1821981,1.54846021,0.602067632,0.665508571,0.725382559,0.620291875,0.817684694,0.920200333,1.0442307,1.329017645,1.4802761,1.082078339,0.709067333,0.374953258,0.905859885,1.013230845,1.347790984,1.023974,1.183231,1.2597312,0.927787468,0.921408,0.922980382,0.753655156,0.815344767,0.89114579,0.957740613,1.172039714,0.622024435,-0.001512183,0.491601161,0.460660167,0.366897806,0.204326839,1.182289909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846896412,0.968849825,0.989325677,0.676450867,0.939528306,1.121064241,1.188378759,0.820933164,0.888210917,0.883339984,NA,NA,NA,0.05972225,1.794745048,1.755916683,0.63539415,0.536316773,0.629027833,0.571419823,0.481797883,0.492769403,0.454162758,0.449382053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.449859,-66.073426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976607952,1.04572035,1.080800032,1.308946952,1.149340173,1.45500912,0.397190571,0.999254919,1.056244129,1.132802518,0.918653871,1.090119444,1.3762777,1.0962215,0.64535585,NA,0.701632743,1.202629774,1.069703367,0.913198032,1.000758323,0.79582824,0.662776855,0.918405627,1.149861464,1.298897304,1.235818532,1.098223868,0.415219392,0.778566097,1.049677217,1.233417652,0.654199871,0.707452571,0.501017774,0.57024925,0.767400016,0.712838167,0.710559274,0.775054625,0.32690305,0.310314387,0.320571817,0.206886935,0.179092565,0.316279121,0.559612707,0.8195177,0.937738516,0.967240517,0.360371452,0.550863081,0.763470033,0.784674271,0.848043467,0.782971016,0.956174339,0.897470304,1.012611548,1.17714065,0.668680306,0.610321933,0.501040194,0.595844532,0.756902483,0.819947952,0.985084583,0.888697081,0.906181177,0.868539318,0.564101242,0.600969167,0.684088484,0.614686867,0.678091435,0.734366533,0.612858156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21.283503,-157.830591",0.850485871,1.050418569,1.033391758,0.59784115,0.798705613,0.935587567,0.530122694,0.697707129,0.881355683,0.861103274,0.636819567,0.690755032,0.720503113,0.769458446,0.745355581,0.6890036,0.820953161,0.816184117,0.810680887,0.865121645,0.6494837,0.695921097,0.860330783,0.860106887,0.885423113,0.587465625,0.736170565,0.620639083,0.531299661,0.43708965,0.5054845,0.612730758,0.788846567,0.581991371,0.651778317,0.471030484,0.613876194,0.565605536,0.709960806,0.684888283,0.787145629,0.82704405,0.795777968,0.747206613,0.763925517,0.701657823,0.72204545,0.845628871,0.960692694,0.677110273,0.53954821,0.7944796,0.640628048,0.427582117,0.555388355,0.658578339,0.8090385,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
