monitor_id,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4
"17.963756,-66.254208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9345238,3.9343735,4.673454143,4.907436444,6.504474033,5.150303903,5.429815419,5.646587,5.18472225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.198712,-66.052237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.912709846,9.227308323,9.710389036,8.98033625,NA,9.2,8.61945705,8.013311619,9.823508387,12.5493334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.882896778,4.607808167,5.061712645,5.816127968,5.897893433,7.577641452,7.362199667,6.497337677,6.489410933,6.388961045,4.139957308,3.286600233,3.697934783,4.1069445,0.909946556,NA,NA,NA,5.602451053,5.781263484,5.251486,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.453865696,5.236809107,5.367382286,5.548997964,6.891413419,NA
"18.416892,-66.08711",NA,NA,NA,NA,11.13108338,7.855867483,7.3,5.266917143,7.221520267,8.278751677,11.08592768,9.670478452,10.22402348,9.71777737,9.459913677,8.480901367,7.865889417,7.115839828,7.186072708,6.868199708,7.404825433,6.756967194,11.52781452,8.814316591,8.997551583,10.24349468,7.748778846,9.5685496,6.617222419,5.4344526,4.777699839,5.89853771,4.993659433,5.134656161,7.142501033,7.553003774,NA,NA,NA,NA,6.951953391,6.212198067,5.525003355,6.271302895,6.8478865,8.048179871,8.823747667,10.26531087,10.42373232,9.528740172,6.323914167,6.667500238,6.438097645,4.150362233,4.948152323,3.893928,6.074715778,6.823005613,7.7326087,8.860352581,9.541666667,15.01768396,11.66060967,8.627773077,8.628763519,7.21646832,6.36997108,6.506204619,8.720904625,7.845536323,9.612318767,11.31324203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.422595,-66.120012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1825985,8.45788471,8.030027667,8.981668355,8.326270387,5.201808,5.87325271,6.5470652,25.01505584,9.956326419,10.70121655,11.58440213,9.842201633,7.999966484,6.3611003,8.011571323,6.246622419,6.924894552,6.169543935,6.7726218,9.399912677,10.7696844,9.97301187,12.21273452,11.3899059,8.096541484,7.706994423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.139833419,6.353425633,6.355919516,6.116706333,7.86351271,16.87801287,18.97842446,16.04740472,12.94745413,10.38145737,12.19516667,13.56609971,12.23454887,12.13627487,11.71330223,13.09651577,15.05130504,17.00385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.434113,-66.161278",7.97251,8.39020204,13.17345523,9.594671692,10.2200216,17.18442027,16.81761794,33.38679629,14.39788093,36.60083883,18.04362308,32.55031682,4.969610421,4.228796071,4.62790475,6.8059108,5.542403414,7.847463667,5.31929313,4.75629687,6.941307633,7.473086387,8.421761033,11.41054123,NA,7.587460294,4.371759323,4.259051615,6.3816975,5.830083036,5.914573452,7.8870055,6.496715308,5.4246212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.440774,-66.126531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.842374,10.43514497,11.30956337,12.56707835,13.03701732,8.655153161,7.980973909,9.356569714,6.7506336,4.557503419,4.995760613,5.74134463,NA,NA,NA,17.31481467,12.27297421,11.77794597,11.1232917,8.733773581,8.379553067,7.225152935,7.008628667,12.2788462,13.45138883,11.35142527,11.010242,NA,7.845410667,9.440065516,6.792308967,9.135710667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.369561,19.80871477,16.8580473,17.86119797,14.32179883,15.63706497,17.01475427,18.1391426,24.53119552,25.1219038,30.02816739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21.323745,-158.088613",4.078098448,5.51426384,5.518994208,3.781606167,4.084903333,3.814058067,4.029068967,5.990240774,5.039448867,5.796451,4.368357586,6.481630774,6.56759671,5.466809,4.772505962,3.751556923,4.118774548,3.733842167,3.152126065,3.487156452,4.1709596,4.680958613,5.066597,4.967954355,5.501535258,5.121570857,5.2243479,5.3761912,5.45936929,4.213434367,4.021388632,3.858733286,5.269607692,4.316454484,4.777201333,5.645505903,6.631598226,4.635001148,6.20834213,3.067929233,3.138121903,4.64357464,3.957204857,3.569403806,4.448388433,5.410344645,5.1705786,5.970132581,5.3330918,4.217386517,4.489410833,3.9866666,4.40956229,4.157032333,4.087716161,4.178630581,5.019847,5.414797032,6.2069617,6.333153387,6.512643935,4.21789125,5.014829935,3.7849747,3.353627452,3.189531167,4.229200129,4.784437065,4.756439367,5.089229903,6.664962967,8.470649968,6.362381194,5.639583357,5.146872065,3.9925505,4.110092903,4.346151833,3.945886,4.641240548,4.6426493,5.807262645,5.015909167,4.994256968,5.822554161,6.076163429,5.436735581,4.402968867,4.110726129,4.742057333,3.604015103,3.051723387,3.607240933,4.506453968,4.8273485,5.900736548,6.04478871,6.68097169,5.9108788,3.795232857,2.807079226,2.169908467,2.581857806,3.423797774,3.904394767,3.757359032,4.324027133,4.663833133,5.851241,4.001224429,4.777963548,4.162428,4.295919867,3.323024667,3.097155194,3.648837645,4.006724467,4.316774613,3.5473721,6.289074903,5.652627571,4.514188385,3.052667161,2.7982213,3.556366742,3.0690465,3.291119645,2.988415667,2.7170494,2.814915516,3.3738879,3.960280032,4.328627484,4.144930893,2.892414645,3.118330033,2.205082267,2.2094202,2.046107968,2.194689032,2.738686167,3.012946839,2.8009662,3.028311968,3.609768806,3.651281483,2.819996419,2.628260867,2.223291692,2.0515269,2.176702097,1.991718429,2.823508567,3.272532968,3.632454542,3.549914839,3.805060484,2.362708885,3.110309615,3.358518273,3.290795419,2.072509867,2.38452671,2.10969,2.464097533,3.809282161,3.1303893,4.016648935,4.222570258,3.934458346,3.890472581,2.477137667,3.92628775,2.065845714,2.556393815,3.046741955,3.147463273,3.594945913,3.339479767,4.727699452,5.604798452,4.44567275,3.594793161,3.0346301,2.861097065,2.664628733,2.862937323,2.937164067,2.926971767,3.41139229,3.4521547,4.55504871,5.429706516,4.768707586,4.043091129,2.9854521,3.117190793,NA,2.3478095,2.082883333,3.004125889,4.003741,5.137504852,6.220425839,5.595763097,5.428422607,4.917164065,4.5929784,4.092500065,3.605222133,2.938121452,3.436732129,4.124666667,4.771305533,3.957452567,5.704542968,5.332211452,5.984441464,4.211021714,3.206319967,3.474312161,2.582927233,2.901368613,3.070829815,3.640292103,3.693941194,4.364280767,4.408439871,5.142387323,5.003094679,3.541928452,3.717083367,4.027096774,3.314817233,3.218060032,3.526115548,3.809745778,4.111286484,4.887890533,4.505697323,5.042706065,3.999535034,3.778673323,2.787802667,2.115431484,2.3005343,2.667688161,2.320403226,2.685675633,4.835440032,3.2626792,4.6775,3.778467806,4.187321393,3.294005355,3.0255278,3.048929548,2.681166733,2.494865581,3.421559097,3.390992233,3.154590581,4.362138867,3.607219677,NA,NA,NA,NA
"21.332743,-158.11413",2.896727419,4.540070862,2.927723677,1.942006379,3.086413097,2.648745167,2.619866871,2.895821548,3.187499933,2.447514077,3.784083321,5.552908097,5.071135387,4.103487321,3.498485903,3.063736533,2.88611929,2.5515045,2.580384839,2.920169452,2.7097441,3.24746071,4.681056967,4.114714903,4.678067484,3.701522286,4.253086677,4.333355333,4.868258323,3.494804567,3.08356171,3.591201194,4.156323667,4.3848365,4.605473167,5.300055323,5.533075367,3.766804286,4.785827042,3.973851704,4.146831161,4.324494967,4.645278194,2.630722839,3.437758033,3.932466323,4.009848433,4.391187452,4.71972,4.671095241,3.839241032,3.500131867,3.605476,2.277146433,2.342800207,2.403209774,2.109083567,2.561119258,3.3266413,4.002480968,3.152636161,3.231931036,3.358573258,2.426641433,2.426727226,2.416105967,2.463901194,4.126255419,3.296833,3.507039194,4.18627496,3.516251952,5.849112423,4.290866667,4.386527533,2.305830033,2.997402846,2.425521828,1.924073815,2.183646258,2.041747567,3.441542926,3.734956448,3.926784323,3.962913129,4.140135182,3.541300129,2.582449533,2.727518194,2.418813133,1.958418355,2.418446387,2.4353898,2.494868161,3.721618467,2.402960161,2.724855548,3.177142724,3.248991968,2.943539733,2.693475613,2.282815733,2.149954161,1.970807387,2.167951433,2.779974871,3.4674519,3.724036677,4.589071065,3.002314923,3.494890839,2.826274,3.916613806,2.8431612,2.548501806,2.96000329,2.971824733,4.020889387,2.058409321,4.658032258,2.710087387,2.7165965,1.871559806,1.629560667,2.549793516,1.973718633,1.173604387,1.234067871,0.933721267,0.954173645,1.350527033,2.627725355,2.474036862,2.282417464,1.240947545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21.949599,-159.36624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.799456296,3.149630258,2.692155467,2.478154677,2.614083903,2.0775014,3.448692516,3.1657792,4.254166632,1.2880966,2.048107276,3.954816258,3.8346285,3.322967419,5.490595286,2.720857129,4.202978962,2.605927567,1.168808581,3.068215367,2.007096935,2.557038419,5.13210325,1.767899355,1.557037367,1.562646,2.838070733,1.961874065,2.071290355,2.251236,1.544763742,1.912048733,1.698173774,1.363228968,1.05466925,1.833830065,5.2115727,1.268384645,2.4316871,2.638809258,2.574582957,1.8887959,2.001742765,3.19860076,2.935081226,1.218241323,0.710899357,NA,2.190642381,3.362658581,2.033993433,1.684623129,1.165706129,2.513914633,2.041480581,4.033994826,3.5631135,NA,NA,1.526579286,3.506332033,1.522486364,3.560953667,2.577503903,1.706083452,2.218313464,5.850100353,4.550950333,3.123237581,1.810285871,1.838074955,NA,0.507638917,0.425035158,1.386116933,0.972671542,1.008406613,1.0989776,0.231313333,3.870986517,3.960249226,3.112326355,2.727962214,4.090072933,5.5729722,4.907602613,3.876393767,4.376576387,4.872014516,3.604557867,4.195188871,5.593205542,8.800455731,4.413399677,3.667555929,5.748958871,5.712368733,3.80016129,3.2107798,3.572656129,3.808673871,4.3396404,4.369525194,3.725480133,4.541761,4.954865548,5.380741103,3.873333355,2.411888933,2.543790355,2.5503194,2.539435516,2.623264226,2.608114367,2.549193548,2.775089867,2.705361097,2.702204258,2.185267179,1.617281677,1.9740955,1.842260484,1.754111133,1.882490033,1.872318839,1.88858481,1.962255226,1.700570233,1.912947065,NA,NA,NA,NA
"25.732878,-80.16175",7.834415724,9.438270586,5.654950194,4.749763933,2.484827467,3.608043967,5.224975233,3.836868767,5.476262667,11.4038319,11.61778045,9.581078,13.16468059,6.285470536,7.4686508,6.0497447,5.201136839,4.8404751,3.359639065,3.636604226,4.351097867,3.544803381,7.332702067,6.400162333,8.081500452,9.437055571,4.76522525,4.514448067,3.908797645,3.937067133,4.789903677,5.69574629,3.293710967,6.098289452,10.956223,10.25201839,15.30116839,8.034821464,4.72916675,5.624665462,4.423322467,4.592158433,3.775614548,4.904988806,6.496825433,7.261800065,5.1306763,8.238909379,13.12940907,9.33467969,6.440029226,4.2198653,2.203286323,2.599796833,4.950319839,3.645682645,2.6512381,5.137096742,5.810781733,11.09375439,8.426457806,8.926785893,11.29958713,5.7892787,4.807970935,2.614445167,2.690382129,3.465521226,4.733031367,4.111381222,5.359694733,10.53526387,5.769226226,6.835235429,6.012964258,4.288822967,6.097498806,2.460781767,2.037929194,4.349482613,6.872436267,8.819658742,10.89941343,5.133907677,6.556207226,9.21425525,5.024874935,6.32683268,3.066710258,2.9500385,3.766153097,3.156684355,3.432581267,1.997063161,7.9276743,6.960739871,6.614817032,5.426105103,4.713943452,3.118254333,2.736888516,2.0519927,2.051709677,1.167941742,1.989470867,3.507632065,6.427379704,5.148873323,7.073190032,4.430112429,2.634769871,2.260406567,1.695322839,2.400207833,2.366013871,1.414063419,3.0692523,2.161977935,5.481741333,4.868880258,7.699285097,6.43502975,5.994992258,2.720970567,2.098628323,1.860793733,1.435792,2.068915032,1.482050933,4.733302516,5.4203463,8.886684258,5.680770871,4.511104857,3.627747161,2.215061367,2.128002387,2.0217073,2.185123258,1.840350452,2.285155867,2.733994677,2.7386473,3.493933,6.705012903,2.31451431,1.836797161,2.626740233,1.798682387,1.6197134,1.227629419,1.218839414,2.0157773,2.320411241,7.6722065,3.474462452,3.936515581,5.03520576,7.050389935,1.794879667,2.229384871,1.142693267,0.955283516,1.924434677,3.029271033,2.853526484,3.177616367,3.533033677,5.727086774,4.022677926,4.275365355,2.764899067,2.474125516,3.259321433,1.723153194,2.265664357,2.3005983,4.162995613,5.528989167,7.372327806,5.752102619,4.304183107,3.083100645,1.8754509,1.804694129,1.157622593,0.537852905,1.464249677,2.816455733,1.748165931,1.547187333,2.301701516,6.276658968,4.697665,2.928012839,2.119684467,1.895290903,1.4570462,0.752884871,1.299095259,2.369384033,2.201538087,5.220943167,3.526848355,4.13135716,4.618870143,4.14755871,2.387963833,2.378227355,1.446203367,1.222435846,0.715625,2.069630875,1.687176581,5.405055167,5.959435581,4.754581484,1.808969143,5.230222677,1.475131,0.770968355,2.5656826,2.608862129,1.390932905,1.8930415,2.522872484,3.613083433,3.898137032,6.045238032,2.8342875,4.516906452,2.345016,1.668619613,2.016289767,2.592444433,1.729196438,1.4813118,1.485983226,4.7532144,4.38068175,6.580105059,3.164293862,1.43693171,1.447559625,1.69565671,1.032170567,1.793026957,1.295149538,1.3676389,1.547586258,2.16088256,5.576341613,8.271003129,2.687058071,2.629661129,2.962849133,2.579529043,2.450564767,3.898624692,1.924287032,5.398719067,2.749989516,5.067424182,2.225303,NA,NA,NA,NA
