monitor_id,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,1/1/2000,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5
"18.177939,-65.915482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013045643,0.013815667,0.017688484,0.018174516,0.021630828,0.02436325,0.0222144,0.015774129,0.015050867,0.013413032,0.012110545,0.011627769,0.009844419,0.011570667,0.015823032,0.012952581,0.01704625,0.022973586,0.019237357,0.0189305,0.013959185,0.013722968,0.01229,0.011421542,0.00954124,0.010498067,0.014065548,0.010764677,0.001701643,0.003148,0.010497867,0.017220065,0.012682333,0.009741968,0.002856,0.0048982,0.008829129,0.009731567,0.013275581,0.01654535,0.017431875,0.0192478,0.010392167,0.014323304,0.013286267,0.013741355,0.011579905,0.009594778,0.008085258,0.009279429,0.017330452,0.015791323,0.015184621,0.015273645,0.016254933,0.013933645,0.023066767,0.014690742,0.012241826,0.0106373,0.011326227,0.011472609,0.016325871,0.016316667,0.007404,0.007422677,0.0018568,0.001673613,0.0027153,0.000713548,0.000582955,0.0013388,0.000657,0.0097931,0.016680484,0.016383323,0.015621893,0.014941226,0.018127467,0.015461129,0.012796067,0.013569226,0.011833375,0.009601885,0.009521806,0.012976067,0.01858881,0.019748871,0.020499179,0.021369963,0.016652933,0.01315371,0.011741267,0.014611321,0.012895484,0.00922085,0.011284,0.011186643,0.014893839,0.016561613,0.018810333,0.015033172,0.0056045,0.003713125,0.00340569,0.003844419,0.004927048,0.003025286,0.002947407,0.003443167,0.002725032,0.003574548,0.00419705,0.004957222,0.004937333,0.003562563,0.0033421,0.0029539,0.002743839,0.0078012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002247065,0.006367034,0.007701968,0.009611667,0.008734323,0.007682167,0.018699613,0.007140387,0.005639433,0.005633059,0.003892233,0.003872452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.216038,-67.144107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005467417,0.00476471,0.003403276,0.003210467,0.002878548,0.003509433,0.001609419,0.002403452,0.00306931,0.011953226,0.0136447,0.009616387,0.007500067,0.007851733,0.00719884,NA,0.009329611,0.011602846,0.01387825,NA,0.020906833,0.02106729,0.021243167,0.011971677,0.0110363,0.011130516,0.00995575,0.014526724,0.015335556,0.01838381,0.016958129,0.017155581,0.022943357,0.016852774,NA,NA
"18.334399,-64.795972",0.032902355,0.032565276,0.037098774,0.029754767,0.023440484,0.021224536,0.018276767,0.016620067,0.017192267,0.01830529,0.0260803,0.021404516,0.018792818,NA,0.020327467,0.024543233,0.014351065,0.014918633,0.018102613,0.015024871,0.014494067,0.018192452,0.030516767,0.026335871,0.029251161,0.029565107,0.027974516,0.0290904,0.025774258,0.017551,0.018670226,0.013860692,0.016590923,0.017552517,0.023712667,0.028172903,0.026807484,0.027574893,0.024121516,0.026283233,0.024212548,0.020964733,0.018612387,0.015165778,0.016919038,0.017998871,0.023688633,0.028717806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.420089,-66.150615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.12E-05,0.0102661,0.01142225,0.015808258,0.0208196,NA,NA,0.019623,0.014572581,0.012005222,0.012510423,0.009915818,0.008866185,0.009625613,0.011360867,0.015518871,0.017985464,0.019858345,0.021625226,0.016168103,0.013951871,0.011149733,0.009869516,0.008099387,0.0083035,0.009327643,0.0094322,NA,NA,NA,0.024780667,0.02694965,0.011281625,0.01379525,NA,0.0116344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,0.004082,0.005369793,0.008503704,NA,0.009647,0.00889888,0.005768414,0.013802233,0.014709577,NA,0.003,0.02200371,0.016816154,NA,0.0066915,NA,NA,0.012496625,0.013104391,0.015503174,NA,NA,NA,NA,0,0.00136775,NA,0.01341525,0.012605806,0.010291379,0.015713,0.016753483,0.0125805,NA,NA,NA,NA,NA
"18.434113,-66.161278",0.020839208,0.017363353,0.028239409,0.022489357,0.017140484,0.029748938,0.0157988,0.0118125,0.011272071,0.009318742,0.013594304,0.014994667,0.019161526,0.020899179,0.01687492,0.0196881,0.01267955,0.010716647,0.009036065,0.008175,0.00811884,0.009436387,0.0196239,0.013814194,0.016875387,0.019476857,0.020802613,0.021836304,NA,NA,0.006273,0.013386097,0.033370167,0.029437778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.440774,-66.126531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067786,0.006482032,0.00646013,0.007323704,0.008549,0.009795194,0.01593929,0.017075654,0.013640091,0.010152952,0.007746036,0.005669367,0.006155613,0.003206,0.006344828,0.00604171,0.008345033,0.010308214,0.013776065,0.01147475,0.008367056,0.010001957,0.008546,0.005568933,0.005959226,0.005223208,0.004316304,0.005620387,0.007656033,0.010529083,0.012829258,0.01256712,0.014415208,0.0133177,0.008096903,0.007356,0.009339645,0.010760871,0.008108286,0.011796968,0.014441133,0.016992226,0.016684207,0.018740345,0.021800484,0.017081455,0.014698258,0.011606633,0.010648935,0.010189742,0.011032767,0.008894964,0.013278367,0.016570581,0.013144226,0.017499929,0.023324323,0.018870826,0.015686185,0.0132629,0.011286548,0.011537032,0.009553862,0.008954484,0.010135267,0.01210984,0.016519903,0.017432679,0.017478548,0.023118545,0.014153581,0.0122019,0.011850032,0.010981759,0.010850893,0.011259923,0.021921567,0.021574667,0.020846323,0.026916036,0.022968304,0.022486267,0.014795161,0.009945933,0.006637645,0.008385419,0.007462038,0.0096941,0.0112825,0.013921387,0.015519903,0.017608621,0.021514194,0.0220039,0.01504688,0.0126161,0.012250419,0.009586621,0.006721633,0.006769222,0.008000067,0.013139091,0.010799552,0.010348786,0.012194643,0.011888714,0.007168567,0.0065823,0.004681161,0.004070161,0.002922833,0.00163571,0.005880333,0.008467032,0.007914548,0.008076696,0.00313664,0.004960833,0.003389,0.002045733,0.004333345,0.002481143,0.002867071,0.00409613,0.0046824,0.008061871,0.005144789,0.007668107,0.009453387,0.009809833,0.00556929,0.005744567,0.005692645,0.006656548,0.005343067,0.007377677,0.0091138,0.01407356,0.013136613,0.014898621,0.016627818,0.0135157,0.011489581,0.008715767,0.008929806,0.006256214,0.004851455,0.00441929,0.005123467,0.012812194,0.017779903,0.014810893,0.018111037,0.021185308,0.012390903,0.011687833,0.011188516,0.009897143,NA,NA,NA,NA,0.00172671,0.0054955,0.005417581,0.0047152,0.005208806,0.003596667,NA,0.002558545,0.001901,0.002011593,0.003256517,0.005472581,0.005051258,0.005447043,0.005730417,NA,0.001453,0.0024685,0.0033735,0.003284645,0.002829467,0.003534042,0.0149862,0.016968935,NA,NA,0.027872444,0.019670633,0.017091161,0.013827333,0.013219581,0.012388,0.011787667,0.011381484,0.01608825,NA,0.00853425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19.416699,-155.237223",0.027628613,0.023916207,0.025305258,0.029354267,0.019808613,0.0128334,0.012554968,0.012656129,0.0090964,0.015756464,0.016723567,0.016584871,0.024025419,0.02422725,0.024002742,0.023700067,0.019635968,0.015402267,0.012727871,0.011692548,0.0119938,0.01820625,0.0153529,0.024729903,0.020132778,0.031418107,0.02308729,0.018755115,0.0168667,0.017919633,0.012058839,0.011769742,0.017506633,0.013812056,0.0250344,0.028419133,0.023647742,0.029892905,0.027715323,0.0321137,0.027046194,0.018924833,0.017070613,0.015956452,0.016460367,0.017528774,0.025747231,0.023216355,0.0201796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21.303382,-157.871171",0.02377229,0.016900655,0.023381419,0.0273314,0.016009452,0.0097514,0.010651129,0.011174613,0.007239133,0.013173929,0.01630336,0.016163355,0.019008161,0.020964286,0.026344296,0.027149,0.017496276,0.0128515,0.011385194,0.010581032,0.013993833,0.019400355,0.0168568,0.023268871,0.021516161,0.02629,0.023741968,0.020281654,0.015559774,0.018150467,0.013583452,0.011941258,0.018420967,0.016773138,0.0217383,0.026254452,0.021814097,0.02320375,0.018714556,0.0213761,0.017979871,0.0133117,0.010149968,0.00982371,0.0131765,0.011700323,0.017656933,0.016677065,0.021307548,0.021220846,0.027348871,0.025070567,0.016510484,0.0133294,0.00820871,0.009711871,0.012854933,0.014102964,0.0169954,0.019557444,0.019573097,0.0231155,0.026041677,0.024611733,0.015146129,0.014194367,0.012690742,0.012381419,0.011780233,0.014908935,0.01204363,0.018735548,0.023248548,0.025336143,0.018593871,0.018892759,0.016590161,0.009598467,0.005895677,0.006186935,0.00616375,0.008548581,0.008890133,0.017349871,0.016208677,0.01922475,0.014464839,0.018117567,0.009202655,0.0086784,0.008063097,0.01018971,0.0102019,0.013035516,0.0125863,0.016862806,0.019130739,NA,0.018372222,0.0208054,0.01704171,0.013696633,0.015273258,0.014449645,0.0172618,0.019091097,0.018095367,0.018403483,0.022748935,0.030721148,0.023242107,0.0277627,0.018068731,0.015664733,0.011654645,0.013650742,0.0128549,0.013742516,0.025204786,0.023583935,0.025087258,0.028399107,0.028670194,0.0273569,0.022495194,0.0184823,0.015443419,0.018111903,0.0138999,0.018131161,0.0204491,0.015507806,0.024344833,0.018563036,0.021793742,0.018511103,0.021466677,0.0179588,0.013243258,0.01434725,0.0168754,0.018965774,0.025479533,0.024838692,0.015003806,0.022325759,0.027849571,0.029615542,0.023960846,0.017401833,0.015152226,0.014730148,0.016190767,0.012703935,0.023047033,0.022333645,0.026434548,0.027428571,0.027130839,0.020228321,0.021605452,0.017384333,0.015569226,0.015119355,0.0163293,0.018832367,0.022440179,0.023212742,0.024574935,0.018783,0.029081103,0.032805947,0.021654806,0.020701967,0.013487645,0.016092462,0.012783923,0.017815,0.0302667,0.029799032,0.025089839,0.028153393,0.031269471,0.031528621,0.033356677,0.018007933,0.013058903,0.010406097,0.015692167,0.019620452,0.027684467,0.028830742,0.024666,0.030075182,0.02822624,0.031298,0.026146333,0.021245448,0.016861321,0.016276034,0.016135733,0.025774258,0.0308754,0.027575903,0.0299745,0.030103393,0.021108077,0.024727778,0.024175581,0.0178607,0.017280645,0.016307484,0.019825633,0.023392871,0.030577867,0.030341677,0.026855742,0.025241536,0.031918107,NA,0.025266379,0.0194148,0.015225839,0.014891677,0.015757067,0.019886806,0.026023367,0.031037194,0.028309323,0.030863536,0.034186032,0.0287634,0.023779839,0.02112319,0.012000032,0.012360548,0.015058033,0.019595903,0.024048933,0.027902581,0.029998065,0.032279931,0.027861419,0.023344,0.020202968,0.0170784,0.013493419,0.011673516,0.015762667,0.013459839,0.025072867,0.022545645,0.027189677,0.028904464,0.029504774,0.029188933,0.023557571,0.019294167,0.018952581,0.017945,0.014760767,0.025674071,0.022508,0.029283742,NA,NA,NA,NA,NA
"21.323745,-158.088613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031771903,0.025510464,0.025833111,0.0259177,0.026563806,0.026165833,0.020677355,0.024473474,0.0280537,0.031436583,0.034213176,0.037478923,0.026522129,0.033151214,0.029868565,0.028366667,0.024127194,0.022506133,0.021943097,0.018771194,0.020350867,0.017519903,0.027889167,0.025845903,0.031833032,0.033933107,0.032303613,0.0231285,0.025073935,0.0205216,0.019836444,NA,NA,NA,NA,NA,NA,NA,NA,0.02968385,0.021132839,0.0202806,0.012712194,0.017511611,0.014177138,0.01700885,0.031362633,0.031324,0.026424581,0.029604357,0.033198258,0.030294741,0.034774333,0.020102233,0.013380839,0.011588613,0.015719967,0.022108258,0.027357586,0.025084097,0.025663581,0.029774862,0.029573533,0.032208667,NA,0.017596107,0.016914613,0.017028452,0.0177746,0.027942935,0.0319468,0.029193161,0.033221097,0.030871909,0.024706417,0.025403667,0.025926421,0.019990529,0.018602103,0.016164581,0.01884363,0.023434355,0.031048933,0.031592065,0.027366533,0.028481786,0.030893774,0.027954033,0.030658379,0.022453148,0.020275714,0.02018924,0.019168033,0.021696548,0.0290582,0.033504742,0.0305691,0.035638074,0.030136677,0.028698333,0.024878355,0.021383724,0.016003484,0.016885,0.015933333,0.020041742,0.030253125,0.026996833,0.0310329,0.034738241,0.031341516,0.025862767,0.021618613,0.020893571,0.013504655,0.013451516,0.016614704,0.012794194,0.025819464,0.02225,0.024873935,0.025991048,0.026220133,0.027620167,0.022761633,0.0196796,0.019869129,0.017864452,0.0134216,0.012041467,0.0227449,0.030209677,NA,NA,NA,NA,NA
"25.39122,-80.680819",0.030232862,0.033551034,0.031417581,0.037224148,0.029146419,0.018692867,0.015846323,0.018387667,0.015909433,0.033262032,0.029412433,0.02605029,0.029488065,0.025787786,0.031453484,0.034723467,0.030779871,0.015519348,0.017646107,0.018505296,0.021136517,0.025127161,0.029020172,0.024500548,0.024393533,0.031104893,0.02632271,0.032482333,0.026090815,0.018756467,0.016524214,0.021315895,0.0162399,0.019309704,0.030370069,0.027221226,0.034287821,0.0304585,0.028272129,0.039843433,0.02522429,0.021321727,0.017729038,0.018349387,0.023386833,0.031688774,0.029555367,0.032594323,0.032192613,0.031608448,0.039294258,0.038401933,0.031466806,0.016829433,0.0206903,0.01683024,0.027282696,0.030339645,0.0329352,0.032415968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
