monitor_id,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5
"17.712474,-64.784868",5.22,6.55,7.48,6.9,6,15.2,7.4,10.73333333,8.54,4.65,5.275,6.25,6.35,NA,6.375,7.12,5.6,NA,NA,8.1,5.166666667,9.866666667,3.766666667,2.9,4.966666667,5.9,4.4,5.1,7.5,9.8,10.9375,8,9.34,5.7,6.56,5.64,9.775,4.075,6.575,3.6,7.577777778,9.275,8.516666667,6.56,7.333333333,3.066666667,2.78,4.15,3.62,3.22,4.833333333,3.48,5.15,9.955555556,8.1,8.428571429,6.58,2.64,2.64,2.4,4.2,3.26,4.18,7.9,10.25714286,9.7125,8.4,6.1,14.85,13.425,3.766666667,3.22,4.2,7.083333333,4.4,11.4,NA,10.74,9.5625,12.75,7.62,4.285714286,3.95,5.8,5.2,13.15,5.2,22.6,NA,NA,9.3,5.74,6.66,3.5,8.58,5.6,3.728571429,4.066666667,4.711111111,7.48,6.96,9.54,7.0375,5.128571429,7.4375,8.085714286,3.925,3.416666667,7.466666667,5.233333333,3.55,4.466666667,8.5125,6.785714286,10.52857143,7.4125,7.128571429,8.55,6.166666667,6.8375,4.185714286,8.9625,6.8,7.7625,12.3,8.871428571,5.3875,8.666666667,5.916666667,5.328571429,3.1375,4.642857143,3.711111111,2.942857143,3.9,4.083333333,4.3625,10.91666667,NA,NA,NA,NA,NA,3.285714286,2.866666667,2.68,NA,8.3,7.475,10.36,9.54,6.4,NA,3.085714286,2.5,2.542857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.54,2.7,2.94,NA,NA,8,7.1,8.94,5.82,6.02,10.96666667,3.325,3.86,3.366666667,3.08,4.375,3.2,5.325,13.625,9.16,6.466666667,9.9,NA,9.166666667,9.9,NA,NA,NA,NA,NA,NA,NA,8.125,8.15,10,NA,NA,NA,4.25,3.5,4.24,NA,NA,NA,8.9,8.9,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.56666667,10.78,8.775,1.9,5.06,4.8,4.24,3.7,4.975,3.86,5.1,12.76666667,9.44,9.85,9.08,4.825,4.56,3.98,3.96,6.4,4.08,5.24,5.35,12.55,7.68,7.266666667,7.86,9.24,3.46,3.1,3.62,5.54,5.44,6.08,10.24,11.325,6.54,8.44,4.1,5.9,2.88,3.85,NA,NA,NA,NA,NA
"17.955378,-66.162122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.885714286,9.26,7.37,3.38,2.75,NA,5.333333333,6.3,NA,NA,NA,9.344444444,9.425,9.85,9.633333333,3,3.7,NA,NA,NA,NA,NA
"17.957894,-66.165016",4.357142857,7.066666667,6.6875,8.111111111,6.457142857,13.52,9.0375,10.26666667,7.4,5.283333333,5.2,4.3375,6.514285714,8.377777778,7.9,7.8875,8.018181818,8.02,8.488888889,7.54,5.69,7.2,5.71,4.057142857,4.177777778,6.9,6.433333333,5.5,6.3,8.4625,7.43,7.285714286,8.32,5.4625,5.5,3.744444444,3.64,5.566666667,4.94,6.4,7.577777778,7.49,6.73,8.263636364,6.85,5.242857143,3.8,3.857142857,3.888888889,3.35,4.7,5.85,5.21,9.17,5.9,7.188888889,6.066666667,5.38,4.15,3.925,4.51,6.2125,7.6,9.35,5.845454545,8.93,8.45,6.24,8.63,2.333333333,3.75,3.711111111,4.411111111,4.52,7.51,4.95,6.033333333,10.7,8.345454545,7.93,7.05,5.5,4.85,4.311111111,5.025,5.45,6.881818182,5.42,10.38888889,8.377777778,9.83,6.481818182,5.3,4.955555556,5.78,2.95,3.083333333,3.8,6.172727273,5.442857143,8.87,6.333333333,5.988888889,6.163636364,4.942857143,4.5,4.142857143,3.344444444,3.666666667,3.375,3.7,3.875,6.4,7.466666667,7.21,5.96,5.855555556,4.15,5.04,1.7,NA,NA,NA,NA,NA,8.8,7.225,NA,NA,NA,NA,NA,NA,NA,5.02,4.78,6.19,7.833333333,4.755555556,6.175,5.07,5.11,4.7,3.675,3.209090909,3.414285714,6.2,3.088888889,5.642857143,10.63333333,8.82,6.93,7.344444444,4.4,3.13,2.59,2.871428571,3.283333333,4.5,4.2875,4.690909091,7.1,6.255555556,7.585714286,4.43,4.545454545,3.625,NA,NA,NA,4.32,5.566666667,3.32,6.46,12.6,6.4,NA,NA,NA,2.728571429,3.45,3.942857143,4.472727273,5.642857143,10.1,7.99,8.27,5.981818182,5.45,5.68,6.666666667,4.122222222,4.236363636,4.166666667,3.15,7.36,6.96,8.5,8.671428571,8.29,11.26666667,5.85,3.36,4.633333333,5.24,4.45,7.84,6.03,12.34545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.009558,-66.627249",6.5,7.0125,7.066666667,7.32,7.322222222,11.22222222,7.744444444,8.575,7.522222222,6.63,6.65,8.966666667,7.466666667,6.25,8.011111111,6.74,7.8,8.91,9.02,8.56,6.92,8.054545455,7.14,5.2625,5.377777778,8.26,7.1875,7.07,7.86,9.5875,8.11,7.5125,9.6,7.333333333,7.12,5.272727273,6.3,5.233333333,6.844444444,7.633333333,9.75,8.45,7.23,10.03636364,6.9,6.655555556,5.785714286,5.78,4.75,4.471428571,5.172727273,7.11,5.73,9.63,7.27,8.027272727,5.2,6.716666667,5.57,6.1,5.544444444,4.766666667,8.385714286,9.85,10.1,9.52,10.19,7.47,10.69,4.66,5.57,4.85,4.977777778,6.266666667,8.26,7.32,7.2625,8.677777778,7.7,8.2,8.29,6.11,5.49,5.48,6.675,7.777777778,7.927272727,6.071428571,3.9,NA,NA,NA,NA,NA,NA,NA,4.575,5.42,5.566666667,5.385714286,6.22,6.025,7.125,7.8375,5.916666667,NA,5.228571429,3.63,4.681818182,4.3,3.88,4.757142857,6.118181818,6.228571429,7.1,7.3,6.96,6.433333333,4.96,3.28,NA,NA,NA,26.4,5.866666667,5.683333333,7.736363636,8.01,5.44,4.46,4.191666667,6.2,4.94,4.1625,4.654545455,5.58,6.64,8.35,5.67,NA,6.6,3.4,5.19,3.86,5.422222222,4.266666667,5.745454545,5.683333333,8.55,11.57777778,9.316666667,5.7,NA,5.3,4.66,3.82,5.290909091,4.966666667,5.733333333,4.8,6.163636364,8.72,6.78,7.244444444,5.775,6.53,4.03,3.85,4.542857143,4.55,6.644444444,6.33,4.24,7.2,NA,6.65,7.7,NA,NA,4.55,3.45,4.375,4.745454545,6.4,9.82,8.22,7.78,6.718181818,6.222222222,5.78,5.155555556,3.67,4.772727273,5.322222222,4.22,9.055555556,7.311111111,9.59,9.05,8.572727273,9.07,6.577777778,6.011111111,5.3625,5.26,6.9625,7.48,9.244444444,28.77,NA,NA,NA,NA,NA,NA,NA,4.5,4.08,6.533333333,5.044444444,6.21,21.75714286,8.8,NA,10.49,6.25,5.225,4.827272727,4.1,5.0875,5.2,4.52,6.23,10.6,8.43,9.55,7.17,5.2,5.35,4.62,4.68,6.444444444,4.225,NA,NA,NA,NA,7.65,9.84,7.16,4.94,4.61,4.09,4.928571429,7,NA,NA,NA,8.76,10.61,9.9625,10.05,3.428571429,4.56,NA,NA,NA,NA,NA
"18.045111,-66.802253",4.77,7.425,5.97,6.6,7.0125,13.6625,7.8,7.95,6.842857143,4.975,5.111111111,4.45,6.4375,6.85,8.266666667,6.63,8.255555556,11.15555556,9.91,8.9,6.3,7.245454545,4.87,4.0375,5.06,8.06,8.677777778,6.166666667,7.977777778,8.9,9.618181818,6.683333333,8.871428571,6.19,5.79,4.763636364,5.29,5.044444444,7.37,6.93,9.56,8.5,7.22,9.372727273,5.785714286,4.888888889,4.257142857,3.8,4.5,3.777777778,5.1,6.2,5.42,9.185714286,7.242857143,7.811111111,5.75,4.971428571,3.3,3.8,4.3125,4.6,9.0625,11.14285714,6.45,8.6375,6.51,6.344444444,8.85,3.88,4.04,3.38,3.866666667,4.644444444,6.91,5.12,7.0625,8.822222222,7.85,8.966666667,7.211111111,5.1,5.37,4.681818182,4.97,7.411111111,7.566666667,5.27,8.285714286,7.811111111,8.577777778,6.3,6.5125,4.98,5.422222222,3.32,3.64,4.114285714,6.0125,6.71,9.122222222,6.58,6.49,6.509090909,5.06,4.085714286,3.65,3.033333333,3.683333333,3.7,3.15,4.64,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.071428571,3.885714286,3.666666667,4.6,5,5,7.875,11.67142857,9.92,NA,NA,4.2,3.82,3.13,4.69,3.788888889,5.12,4.7,4.745454545,6.675,6.67,6.2875,4.52,5.127272727,3.277777778,2.925,3.45,3.7,3.9,4.85,3.933333333,NA,NA,6.55,NA,NA,NA,3.28,3.3,3.922222222,4.1,6.14,8.988888889,8.966666667,7.91,6.06,5.857142857,5.42,4.59,3.47,4.127272727,4.433333333,3.211111111,7.25,7.322222222,8.42,8.79,7.963636364,8.611111111,6.188888889,3.866666667,4.575,4.654545455,5.855555556,7.022222222,8.6625,11.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.15344,-65.828617",NA,5.683333333,4.6375,5.611111111,3.842857143,10.96,5.088888889,6.1875,6.3,4.225,3.942857143,4.216666667,4.3,3.957142857,6.033333333,5.09,6.911111111,7.1625,8.1,7.41,5.05,6.690909091,5.122222222,3.375,2.95,4.775,4.866666667,4.666666667,6.4,8.6,8.65,6.9,5.92,5.266666667,5.733333333,4.285714286,3.875,4.055555556,4.677777778,6.62,8.1,6.544444444,6.122222222,7.263636364,5.1875,4.2125,3.425,3.2,3.444444444,3.025,3.57,5.04,4.3,7.988888889,5.4875,7.111111111,4.366666667,4.34,2.977777778,1.971428571,3.018181818,2.8,5.62,6.985714286,5.822222222,7.6,9.15,5.466666667,7.33,3.072727273,3.17,2.66,3.63,3.38,5.79,4.628571429,5.985714286,9.525,7.677777778,6.855555556,6.82,5,3.744444444,3.177777778,3.3,3.4125,5.46,4.4875,8.97,7.45,8.425,6.71,5.1,4.344444444,4.3375,2.9,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6875,2.36,2.609090909,2.5125,4.011111111,4.16,6.433333333,9.95,8.92,8.581818182,5.928571429,4.5125,2.488888889,3.633333333,3.142857143,3.2,4.55,3.642857143,4.27,6.444444444,5.04,5.677777778,4.033333333,5.181818182,2.63,3.31,3.675,3.133333333,3.9625,4.722222222,4.82,6.5,NA,NA,NA,NA,NA,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.175378,-66.725988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.64,3.366666667,8.1625,8.155555556,7,8.13,6.542857143,5.82,8.388888889,3.571428571,4.84,3.375,3.771428571,4.6625,6.722222222,4.84,7.1375,9.777777778,8.4,10.84444444,8.05,5.6875,6.42,3.18,3.82,7.116666667,7.328571429,6.233333333,9.85,7.09,9.577777778,7.63,6.488888889,5.455555556,5.222222222,3.933333333,4.14,3.3125,4.690909091,4.8875,7.975,5.8,5.66,5.736363636,4.477777778,3.228571429,3.44,2.41,3.527272727,3.0625,3.05,3.8,5.944444444,4.385714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2.65,3.788888889,3.785714286,4.318181818,4.275,8.371428571,9.066666667,6.466666667,4.4,NA,NA,3.88,3.7625,3.944444444,3.775,3.95,4.628571429,5.214285714,8.044444444,6.05,5.057142857,4.6,4.96,2.588888889,2.742857143,3.2,NA,4.525,5.3625,4.21,7.785714286,10.5,8.55,5,NA,NA,2.9,3.06,3.3,3.3625,5.54,9.342857143,9.828571429,7.5,5.64,5.725,5.9375,5.3,4.28,3.9,4.133333333,3.409090909,10.08333333,5.1375,8.444444444,7.92,7.3625,7.466666667,6,4.34,5.1125,4.13,8.377777778,5.255555556,7.844444444,13.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.622222222,3.18,3.2,3.133333333,4.05,4.3,4.14,5.9,9.7,7.566666667,9.345454545,5.63,5.65,3.44,3.06,2.56,4.055555556,4.05,NA,NA,NA,NA,7.26,7.757142857,5.95,3.457142857,2.36,2.671428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.198712,-66.052237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2875,4.31,3.845454545,3.725,4.655555556,4.9,4.31,7.01,11.49,8.83,10.74545455,8.81,9.755555556,6.36,5,5.36,6.4375,4.45,NA,NA,NA,NA,8.028571429,9.25,7.79,5.242857143,3.78,4.5875,4.988888889,6.466666667,NA,NA,NA,8.59,10.37,10.1,9.06,3.916666667,4.02,NA,NA,NA,NA,NA
"18.200099,-67.14588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,8.175,5.0375,6.027272727,5.166666667,5.47,4.822222222,2.97,3.445454545,4.244444444,5.090909091,5.16,7.25,12.36,8.83,8.036363636,7.766666667,5.22,3.95,3.3375,4.13,5.422222222,5.666666667,4.725,5.063636364,9.0875,7.214285714,5.466666667,NA,NA,4.2,3.633333333,4.525,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18.207732,-67.146013",6.018181818,7.525,7.58,8.325,8.433333333,10.44,9.8,9.4,8.59,7.244444444,5.866666667,6.885714286,7.54,6.675,9.05,9.057142857,8.455555556,11.075,10.48,9.8,8.875,8.371428571,5.4,6.114285714,6.425,7.16,6.225,6.57,9.04,10.75,10.21111111,8.625,10.12,7.322222222,6.925,6.14,6.34,7.011111111,9.244444444,8.05,9.833333333,9.59,8.775,9.93,6.575,7.357142857,4.755555556,4.666666667,5.628571429,5.566666667,5.8,8.34,5.266666667,9.95,7.916666667,8.4,7.85,6.4875,3.98,4.375,4.125,5.571428571,16.12222222,8.2375,7.63,9.844444444,7.74,8.08,9.5,5.73,5.428571429,4.4,4.91,6.6,7.1375,6.32,9.02,12.78888889,9.618181818,7.5,7.585714286,7.671428571,5.811111111,4.62,5.47,5.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
