monitor_id,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5
"17.704974,-64.780146",9.862353468,4.486189828,2.592423903,5.245725683,1.216072032,3.85659945,3.878378726,8.846707855,3.241119517,2.082175548,9.734821017,13.76564102,5.801530129,6.347381804,1.780651919,2.244545167,NA,2.529834517,2.244251484,1.336325016,1.16676635,3.304786508,0.33770345,2.254511435,5.529652339,2.985597821,1.885689806,3.362142383,15.08256035,7.9421821,7.969901726,4.30948621,2.958988741,3.867976984,4.39375,4.209374661,2.247564742,3.337918482,1.581459532,1.151877617,7.348987371,13.38067787,7.360583742,2.524338516,1.280420017,1.317929468,1.563838033,9.571570452,2.559036452,3.677890724,1.046523383,1.432599633,6.172810855,7.571154167,2.293901742,2.418151355,2.13428125,1.240313097,0.9430077,6.168669258,0.586394726,0.111852696,2.002758887,2.280701054,2.36896879,2.90557415,2.288810968,2.047451452,3.565162633,2.724020242,1.97874985,1.6608095,2.2185555,2.977668857,2.278847339,0.471893533,2.149948613,3.4597559,2.841666032,3.142280887,2.533268833,2.143663839,2.660588367,3.5094644,1.379437324,3.354616981,3.682711258,1.37488215,2.960734677,2.588046133,4.584044597,5.684686694,2.357337383,2.477499919,2.226944433,1.518740435,1.318298823,3.208908017,2.501600694,3.608472233,1.058736597,1.266833462,10.27096777,5.979222484,6.928888383,3.977613118,1.439999967,1.285285581,6.10799729,2.215975732,2.619911274,3.872392633,2.821149258,4.165609883,2.883486935,1.424193565,5.329293433,2.319086,1.22816915,1.807793661,2.669959661,2.403273839,1.979967871,1.71354165,1.194235032,2.709844467,1.9486104,1.869931483,2.566552589,2.797049103,1.622132933,1.143419468,7.832419355,4.416840839,3.377174984,3.569097217,2.638991404,2.7900708,6.178494597,4.850975897,2.6018418,2.826775226,1.65819445,2.954653242,3.290693919,2.21144669,2.086824629,2.071029967,2.925364516,2.906314262,2.848991952,3.366439113,1.1494134,1.097653065,1.180625017,1.191868274,1.672446258,2.082910865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.717197,-64.77459",1.69630529,2.543231534,1.635114694,5.964846617,3.165254661,2.570410033,2.137743113,1.170304629,1.943731267,2.071134032,1.555716383,6.959649306,4.082664806,1.045061607,3.199812548,2.777677233,NA,3.6215683,3.268674839,2.092652387,1.6240895,4.676897887,0.342881217,1.086582323,1.090125113,2.019187804,1.806848758,2.802408667,2.721670629,1.842452033,3.634555548,3.047929774,2.671215783,2.878394855,4.083820317,2.39854279,2.833516887,6.099020179,2.674355145,4.33100945,4.571947145,4.63385105,1.719727032,2.837554677,2.164106482,4.013955113,0.82766025,2.72627379,1.917005419,2.236554638,1.068916919,2.653642567,3.361515726,2.4495329,5.768790548,4.915302452,2.2501696,0.206848129,0.5708776,0.701441581,0.144610452,0.430036893,2.110774661,4.016923233,1.216249032,1.9449351,1.741005113,1.587569161,1.650330017,3.272746403,0.87779455,0.681376242,1.344247919,2.269971929,1.960103339,0.5497078,2.07704829,5.869185033,0.645214194,0.708577081,0.662590033,1.00757771,2.361801767,1.003604855,0.644327774,1.856982643,1.775607339,0.903681867,3.073157952,1.819881362,1.93948929,1.830757532,1.7698099,3.292225672,2.032983467,0.800454855,0.378790274,1.351293086,1.546620177,1.328440967,6.754329887,4.759395,1.065874452,1.497940048,4.199117067,1.579120111,0.185465517,0.039277817,2.457258081,0.883216393,0.709610242,0.513541683,0.162669516,0.66041665,0.095774968,0.074865613,0.3506945,0.402688242,0.5083442,0.543744355,0.534811823,1.339360125,1.022799403,0.77508335,0.621231516,1.922728891,1.032721339,0.561900613,1.1510065,1.153437,0.648809817,0.8802315,2.008312016,0.330654804,0.42222621,0.6967456,0.978158581,1.042661517,1.208192839,1.6590524,1.8091965,1.599462355,0.777500017,0.695039097,1.002352177,1.254205897,1.35596279,1.428700367,1.425934742,1.816132267,1.759127032,0.059082161,0.106876,0.1407639,0.038194467,0.006048387,6.72E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.72053,-64.776257",1.253790161,1.557611483,0.978863806,3.399902117,1.422219258,0.894385917,0.777497839,0.256557113,0.59589195,1.936363371,0.5911712,4.198133274,3.022776758,0.421606571,1.732603194,1.416968967,NA,1.479128833,1.290005548,0.718383161,0.672099867,2.381354242,0.262986483,0.461537419,0.575147919,0.967708518,1.080848177,1.72188205,1.60712029,0.9690407,2.059086516,1.742112177,1.349732467,1.405031581,1.956314967,0.960702177,1.885892048,3.270435018,1.465801532,2.475340183,2.301540661,2.053623183,0.604925048,1.364566081,1.160915917,2.488435903,0.620838467,2.118526629,1.349864887,1.532556931,0.659424145,2.162420617,2.381871823,1.575507733,1.818696839,1.762115742,1.622364017,0.17965071,0.29436055,0.475763048,0.158097274,0.308133375,1.760385742,3.17443385,0.713976161,1.434441833,1.102553387,1.196988903,1.256440217,1.688402435,0.340908867,0.436722919,0.787568629,1.616449375,1.827308758,0.44362745,2.835667597,4.9416197,0.620517581,0.295701226,0.3290372,0.790855161,1.89298355,0.522232242,0.219583938,1.565844759,1.397465452,0.929328867,2.419354823,1.409928283,0.935123145,0.720631694,0.8653011,1.738440903,0.877291717,0.278615065,0.141911065,0.591309259,0.754001419,0.787500033,3.62083329,1.726591233,0.416972161,0.492741968,1.217203567,0.58886369,0.064625717,0.001142468,1.779032242,0.479757196,0.568125984,0.771222233,0.636664145,2.460772067,0.264356435,0.12321021,0.908415417,0.775604839,0.612872783,0.848959048,1.439180065,2.388988125,1.182532984,0.978055567,0.378221565,0.4203997,0.572499952,0.454800226,0.92354445,0.9994025,0.773361833,0.899408484,1.923713952,0.806324393,1.121514565,1.405972233,1.384758097,1.545249683,1.486504145,1.969491508,1.8428635,1.573319919,1.0521528,0.953657,1.095967742,1.261452224,1.253080145,1.380403433,1.251765597,1.527847267,1.561862177,1.672196629,1.04217175,1.145257306,1.186180533,1.25880379,1.04381721,1.046029981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.732473,-64.782923",0.025948371,0.079294241,0.127606339,0.190530917,0.034378532,0.003007233,0.050841516,0.025295532,0.027222217,0.278159032,0.044855083,0.137510839,0.339069177,0.134802607,0.041688371,0.005755683,NA,0.01667355,0.002103774,0.00628129,0.061040817,0.04042671,0.065227733,0.011180113,0.00938329,0.040976679,0.113366984,0.1388533,0.065007726,0.06913205,0.069424548,0.189342613,0.201417533,0.118916565,0.053859217,0.049197403,0.172362516,0.153385625,0.146859823,0.225785717,0.07041679,0.029317583,0.144960661,0.209075,0.120107833,0.269596097,0.164340683,0.3159935,0.219172823,0.106344328,0.080794742,0.200986833,0.324881177,0.147375483,0.201887468,0.097111355,2.158643695,0.105556274,0.063738417,0.061600516,0.157166274,0.197050796,0.900435645,1.2719709,0.513652919,0.501094783,0.359048081,0.816618968,0.65142655,0.731639468,0.359624717,0.160157355,0.419163371,0.429256661,0.42268779,0.150439967,0.812391387,1.12445325,0.038672339,0.088099871,0.269757883,0.335568435,0.42366275,0.170602081,0.03616286,0.326180935,0.329642032,0.213903517,0.488911274,0.123205383,0.106182274,0.253763452,0.530875833,0.325336032,0.2740278,0.10263079,0.104637081,0.235273034,0.316101113,0.514361083,1.199529581,0.29339985,0.144059919,0.248554355,0.440484933,0.231204793,0.12953375,0.332642097,0.189247306,0.113764875,0.165218742,0.079652783,0.204905871,0.2208178,0.094722274,0.058333306,0.1162888,0.270900581,0.294652783,0.489971161,0.533870935,0.927678554,0.455351871,0.31659725,0.265476597,0.385887233,0.203035742,0.223499145,0.146862083,0.371707,0.3791793,0.435013452,0.50436829,0.513764875,0.6767895,0.866388917,0.629080274,0.680251817,0.552150516,0.688446839,0.701252667,0.833129129,0.940069433,0.814497774,0.84072579,0.918303121,0.936357548,1.128504958,NA,NA,1.417169552,1.507056435,0.753055533,0.808448581,0.817152783,0.828427468,0.870967726,0.906586538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.739696,-64.751533",0.025641935,0.020789655,0.050873419,0.029903533,0.021118,0,0.050140258,0.025295532,0,0.067782016,0.052343317,0.038101919,0.124654371,0.118002929,0.04998329,0.014424033,NA,0.01801865,0.002785016,0.01823829,0.073690933,0.056757629,0.11559005,0.064447,0.024140145,0.033714321,0.098903177,0.1077717,0.092249935,0.050642883,0.077289177,0.084161968,0.149324617,0.129073161,0.071458333,0.067241839,0.070416935,0.022099571,0.002158887,0.002738893,0.022299968,0.0137681,0.134575565,0.044104823,0.105395967,0.236949661,0.096602167,0.110662565,0.249559629,0.081310931,0.049412952,0.093596383,0.115305323,0.068797433,0.03904621,0.133048984,0.081138293,0.099927952,0.008322983,0.001355597,0.008640548,0.008872464,0.530785113,0.496367433,0.379761565,0.573612167,0.3089965,0.607213403,0.397649333,0.331006226,0.0804266,0.079784645,0.1625735,0.486657393,0.201981903,0.1825053,0.675956581,1.045003733,0.042893806,0.059089565,0.082933733,0.277844516,0.274386633,0.164573968,0.165121317,0.197251,0.158035258,0.189565167,0.398038371,0.1658147,0.069634839,0.042120226,0.0682276,0.073648,0.194001467,0.088511968,0.097772694,0.098041138,0.039436113,0.076458367,0.327419323,0.165664683,0.048373677,0.077858903,0.079488,0.037701629,0.047261867,0.0156125,0.19561921,0.063796804,0.094000306,0.080000017,0.219815677,0.267152783,0.055920065,0.045026887,0.114578483,0.176142435,0.200841117,0.349415,0.371841355,0.429092268,0.047320581,0.067913017,0.026747323,0.0708434,0.002158226,0.023925552,0.030998967,0.039583339,0.005204933,0.020705661,0.016061806,0.035193464,0.488036083,1.09635395,0.780165145,0.845603833,0.814314484,0.970362935,1.065474467,1.220698903,1.125069417,0.713375919,0.891120707,0.965403431,1.030107516,1.171538733,1.021957484,1.20256085,0.539487569,0.151478484,0.21875,0.13232142,0.707037853,0.841238778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.953006,-66.261461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03958325,0.149876478,0.887189,1.523204903,1.971863534,2.221534519,1.375099,1.2542396,2.10650337,0.477432515,0.845427194,0.279380226,1.036267283,0.654052887,0,NA,4.772038971,4.303694739,3.415409269,2.282199133,2.989393806,3.357224033,NA,NA,0.07555385,0.338532242,0.385578033,7.306870383,2.779622742,0.7343944,0.148878935,0.085383033,0.243991194,1.14583845,1.431281274,0.938570226,1.30733135,1.512672677,1.887635717,2.076546839,3.005763452,2.502439431,2.518461355,2.544355446,1.290617783,1.2440723,2.260550226,2.371765183,0.662599684,0.271020839,0.134351867,0.562831629,0.398327419,1.467577107,1.845542806,2.963941267,2.794396274,2.60513152,7.090259952,8.554993984,8.490052683,9.407671645,4.003228933,0.554496274,0.823416893,0.548038731,0.959888903,2.069180533,1.919862806,1.60910881,1.534170174,0.35002029,0.241698583,0.882704758,1.618446067,1.391467161,2.256020065,0.428834857,0.730262403,0.207530833,0.048043161,0.2908946,0.439779065,0.343656581,0.416304348,0.00791666,0.534287533,0.174733274,0.226741226,0.122988517,0.153865726,0.002328441,0.409034613,0.014722233,0.055977855,0.625,0.011081941,0.002199083,0.0472005,0.153340048,0.050573823,0.164327145,0.39104379,0.445880383,0.50725358,0.913925117,0.556296177,1.054774597,0.06909725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.959005,-66.166681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.092810887,1.044900581,1.079162,1.110627839,1.026533983,2.386388484,2.693877919,3.29513419,3.584274613,3.923316683,3.149981891,2.065961,2.025146177,2.241711306,2.801952317,3.006040032,3.167024017,2.725612462,3.940902145,4.974542482,5.087003774,5.49833935,6.186577935,4.826598589,3.826627516,4.498014613,5.221914804,6.147861208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.963756,-66.254208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.590960274,5.218912414,6.689695694,7.439698283,5.830447768,8.072865167,6.146566661,7.162228383,5.41659518,3.740923038,3.5180254,4.211199194,1.427274239,2.883290286,4.355559484,4.281691733,6.863205444,4.326933396,5.883334758,6.571345258,4.857959633,4.434076935,4.460551933,5.27151429,5.5629785,8.757654038,7.561574,8.1651406,7.2460125,NA,1.783534839,1.840819583,1.59160625,0.163168857,2.785116917,2.129094484,1.508875516,2.0723613,1.948238871,0.880455333,4.286993944,3.541258,3.415277855,2.683441645,2.1958148,1.214526129,1.314599533,1.017199258,0.915463968,0.192353339,1.261831923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17.967309,-66.186149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98606995,1.058506403,1.043130633,1.380896355,2.010682,2.349115417,NA,NA,NA,0.982576364,1.820121911,2.186544968,2.01120125,1.999661833,1.953866417,-0.442905532,-0.005776565,0.406907067,0.922359871,1.033268846,4.279519931,3.825837,4.360406946,3.301041688,NA,NA,0.117843147,0,0,0,0.333674403,0.18526984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.688794,2.9084975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236547571,NA,NA
"17.967638,-66.187471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123827029,0,0.025617952,0.323290143,0.802058419,0.822169217,1.011084677,1.012503433,1.013518919,1.813597097,1.8834159,1.857703968,0.03073914,0.010657548,0.068965419,0.106581804,0.112306355,0.058388333,0.075542629,0.124749683,0.151883839,0.509185129,0.181148983,0.132998452,1.932124614,3.0936615,3.133978855,2.966958174,3.181347306,3.34653855,3.1650135,4.18757635,4.109091177,2.732434241,1.565706267,3.334998214,2.7985306,4.257235903,3.458446452,3.218451286,1.146514516,1.305538467,1.110269037,2.060696967,2.533398403,2.951277946,3.233389717,1.035533638,1.058836267,1.243717048,2.203906957,1.061962941,1.175295182,1.063565879,1.256205867,1.154408286,0.604482677,0.778137944,0.020306196,0.075585767,0.156713167,0.184525677,0.745272111,1.030735821,1.031783974,1.000179118,1.151037447,1.250896533,1.286169016,1.830501581,1.8090064,0.830090048,1.158836817,1.292924726,1.580151597,1.675590448,1.857452617,1.960985717,2.023993452,2.09526485,1.962843935,1.94333278,2.0317353,2.540772517,3.13284725,3.175648968,3.194246,2.589112857,3.124066677,3.098752133,2.260850441,0.989774933,0.985097323,0.968624355,1.041318883,1.055165952,1.048732317,0.494130621,0.010416661,0.060925018,0.186740726,0.19455445,0.13756721,0.058584654,0.732293855,1.040678226,1.086216367,1.045088661,2.56338425,1.047961935,0.618108323,0.085759107,0.252925435,0.4257775,0.758043258,1.00208945,1.003380677,0.401594656,0.725607733,0.835003,0.740359633,1.003978145,1.003830645,1.016195017,1.830261482,1.572518283,1.435813387,1.034707817,1.081552,1.19404895,2.02110075,2.028235543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
